"metabolites";"genes";"value"
"X5alpha.pregnan.3beta.ol.20.one.sulfate";"chiA";-0.341162046699647
"X2.hydroxyglutarate";"chiA";-0.157305019241655
"norvaline";"chiA";-0.139415428818094
"N.acetyl.beta.alanine";"chiA";0.17254148742148
"sphingomyelin..d18.1.18.1..d18.2.18.0.";"chiA";-0.211744893547836
"palmitoyl.sphingomyelin..d18.1.16.0.";"chiA";-0.667466787527337
"pregnenolone.sulfate";"chiA";-0.129584914156009
"N1.N12.diacetylspermine";"chiA";-0.321704186409895
"ergothioneine";"chiA";0.0595291543404695
"indole.3.carboxylate";"chiA";-0.249220501073054
"X13.HODE...9.HODE";"chiA";0.205576069263849
"X4.cholesten.3.one";"chiA";-0.221923453616414
"N.acetyl.cadaverine";"chiA";0.310750214067701
"stearoyl.ethanolamide";"chiA";-0.542422861627198
